# pattern	okipona	truth	rationale	hotwords
corps/working-where-others-can-see	oko	示	Working Where Others Can See (Individual Contributor → Collaborative Team Member) -> oko/示: Collaboration relies on visible work surfaces. When intermediate steps are reviewable, teams reduce duplication, coordinate effectively, and offer support before issues harden into blockers.	working, where, others, see, individual, contributor, collaborative, team, member, corps
devmap-coherence/baseline-freeze	walo	四	Baseline Freeze & Audit Hooks -> walo/四: dhammavicaya is about investigating what *already* exists; without explicit freezes and audit hooks, every promise of determinism becomes oral history	baseline, freeze, audit, hooks, devmap, coherence, dhammavicaya, investigating, what, already
devmap-coherence/devmap-scope-discipline	supa	工	Devmap Scope Discipline -> supa/工: sharp scope makes layers composable and keeps stack blockers observable.	devmap, scope, discipline, coherence, sharp, makes, layers, composable, keeps, stack
devmap-coherence/ifr-f1-dhammavicaya	oko	乃	IFR — FUTON1 Graph Memory Seed (dhammavicaya) -> oko/乃: without codified dhammavicaya, higher futons cannot inspect “the system model of me” with confidence	ifr, futon1, graph, memory, seed, dhammavicaya, devmap, coherence, f1, without
devmap-coherence/ifr-f2-viriya	lili	己	IFR — FUTON2 Active Inference Energy (viriya) -> lili/己: viriya means kinetic collaboration—without these hooks, energy cannot circulate through the stack	ifr, futon2, active, inference, energy, viriya, devmap, coherence, f2, means
devmap-coherence/ifr-f3-piti	alasa	心	IFR — FUTON3 Flexiformal Proofwork (pīti) -> alasa/心: pīti is the pleasure of effective action; FUTON3 must constantly show that pattern checks move real obligations forward	ifr, futon3, flexiformal, proofwork, p, ti, devmap, coherence, f3, piti
devmap-coherence/ifr-f4-passaddhi	kepeken	工	IFR — FUTON4 GravPad / Memory Atelier (passaddhi) -> kepeken/工: passaddhi keeps the system from running hot; this layer must prove it can settle the energy from F3/F2	ifr, futon4, gravpad, memory, atelier, passaddhi, devmap, coherence, f4, keeps
devmap-coherence/ifr-f5-samadhi	seli	己	IFR — FUTON5 Nonstarter / Concentration Engine (samādhi) -> seli/己: samādhi is the gathering of power—F5 must show that concentrated practice is actively linked to the proofwork	ifr, futon5, nonstarter, concentration, engine, sam, dhi, devmap, coherence, f5
devmap-coherence/ifr-f6-upekkha	supa	十	IFR — FUTON6 Hyperreal Argumentarium (upekkhā) -> supa/十: upekkhā here means balanced reasoning—F6 must remain a calm curator of math, not another sandbox	ifr, futon6, hyperreal, argumentarium, upekkh, devmap, coherence, f6, upekkha, here
devmap-coherence/ifr-f7-upa-upekkha	kule	义	IFR — FUTON7 Civic Field of Wisdom (upa-upekkhā) -> kule/义: upa-upekkhā is balance beyond balance—F7 must prove that distributed practice actually shapes civic institutions	ifr, futon7, civic, field, wisdom, upa, upekkh, devmap, coherence, f7
devmap-coherence/ifr-state-convergence	kin	广	IFR–State Convergence Check -> kin/广: dhammavicaya requires evidence for keeping a layer active.	ifr, state, convergence, check, devmap, coherence, dhammavicaya, requires, evidence, keeping
devmap-coherence/next-steps-to-done	oko	本	Next Steps to Done -> oko/本: dhammavicaya requires observable movement—without a maintained “next step” ledger the roadmap becomes inert prose and the proof engine cannot certify progress toward done	next, steps, done, devmap, coherence, dhammavicaya, requires, observable, movement, without
devmap-coherence/prototype-alignment-bridge	wawa	工	Prototype Alignment — Context & Bridge Check -> wawa/工: pattern-capable agents need bridges-before-portals (per p4ng) and explicit pattern activation surfaces to keep prototypes more than aspirational	prototype, alignment, context, bridge, check, devmap, coherence, pattern, capable, agents
devmap-coherence/prototype-alignment-embedding	supa	工	Prototype Alignment — Semantic Embedding Discipline -> supa/工: embedding discipline lets pattern-capable agents trust similarity queries and keeps the system replicable	prototype, alignment, semantic, embedding, discipline, devmap, coherence, lets, pattern, capable
devmap-coherence/prototype-alignment-role	ona	己	Prototype Alignment — Role Reveal & Stewardship -> ona/己: Prototype stories must be legible to pattern-capable agents and maintainers; clear roles enable coordination, care, and accountability	prototype, alignment, role, reveal, stewardship, devmap, coherence, stories, legible, pattern
devmap-coherence/prototype-alignment-tension	wawa	义	Prototype Alignment — Tension & Readiness Check -> wawa/义: Surfacing tensions (per p4ng) and defining readiness windows keep prototypes testable and prevent surprise failures downstream	prototype, alignment, tension, readiness, check, devmap, coherence, surfacing, tensions, per
dsc/appendix-epistemic-bridge	monsi	刊	Appendix as Epistemic Bridge -> monsi/刊: Advanced theses often assume competence first and offer theory as a means of interpretation, not justification.	appendix, epistemic, bridge, dsc, advanced, theses, often, assume, competence, first
dsc/evidence-situated-log	kin	了	Evidence as Situated Log, Not Exhibit -> kin/了: Doctor of Science–level work values traceability and sustained engagement over curated minimalism.	evidence, situated, log, exhibit, dsc, doctor, science, level, work, values
dsc/traversal-first-chaptering	weka	甲	Traversal-First Chaptering -> weka/甲: A Doctor of Science thesis validates breadth with depth by demonstrating sustained, situated competence across multiple domains rather than a single proof thread.	traversal, first, chaptering, dsc, doctor, science, thesis, validates, breadth, depth
f0/p0	lon	亏	System Vitality Indicators -> lon/亏: Indicators remain sustainable only when they create no friction. A minimal interface built from pre-existing behavioural traces provides consistent, low-noise signals that prevent hidden imbalance from migrating up-stack. + status[done]	system, vitality, indicators, f0, p0, remain, sustainable, only, when, create
f0/p1	musi	弓	Epistemic Rhythm & Salients -> musi/弓: A stable epistemic rhythm prevents unbounded cognitive load *and makes life feel lighter, more joyful, and more tractable*. When salients reappear on schedule and WIP remains bounded, drift does not accumulate and affect settles.	epistemic, rhythm, salients, f0, p1, stable, prevents, unbounded, cognitive, load
f0/p2	sijelo	业	Core Obligations Contract -> sijelo/业: Upholding alignment and constraints at the base prevents the entire FUTON stack from drifting into incoherence or overload. When obligations, health, and review practices stay grounded, forward movement becomes stable and real.	core, obligations, contract, f0, p2, upholding, alignment, constraints, base, prevents
f0/p3	lon	叉	Ambition 0 Meta-Managed Infrastructure -> lon/叉: This layer provides the Markov blanket through which alignment can improve. Prototype 3 acts as the experience-design prototype of FUTON3: it raises signals, surfaces proto-patterns, and increases representational variety, while FUTON3 will later formalise this as proof-theoretic salience certification.	ambition, 0, meta, managed, infrastructure, f0, p3, layer, provides, markov
f0/p4	monsi	习	Ambition 1 Hyperreal Enterprises Practice -> monsi/习: This turns consulting into an alignment engine: work generates reusable structure, structure generates higher variety, and higher variety increases your future alignment opportunities. Hyperreal becomes evolutionary rather than transactional.	ambition, 1, hyperreal, enterprises, practice, f0, p4, turns, consulting, alignment
f0/p5	musi	用	Ambition 2 FUTON–Arxana Stack Stewardship -> musi/用: Frequent contact and lightweight documentation prevent drift and make the system stronger over time. This keeps FUTON–Arxana evolving into a stable, coherent environment rather than an abandoned prototype.	ambition, 2, futon, arxana, stack, stewardship, f0, p5, frequent, contact
f0/p6	musi	弓	Ambition 3 Mojo, Evolving Variety, + Reflective Rhythm -> musi/弓: These brief encounters act as evolutionary impulses: they expand perspective, refresh the generative model, and increase adaptive variety. This introduces just enough uncertainty to stimulate growth without destabilising the system.	ambition, 3, mojo, evolving, variety, reflective, rhythm, f0, p6, these
f0/p7	open	口	Ambition 4 Role Transition Trajectory -> open/口: Futons influence the present something like photons. The co-evolution of present and future echoes Gotama’s dependent causality—agent and future conditions arise together in a logical chain—and Alan Moore’s insight that all times are immediately accessible in certain states of consciousness. In applied futon theory, alignment grows through co-evolution with virtual states, not through selection or prediction.	ambition, 4, role, transition, trajectory, f0, p7, futons, influence, present
f0/p8	seme	广	Stack Coverage Check -> seme/广: FUTON0 provides the experiential ground—a mindful openness to futons— while FUTON3 handles representational coherence. Without the former, FUTON3 cannot see; without the latter, FUTON0’s perceptions cannot stabilise. Together, they keep the stack aligned across time.	stack, coverage, check, f0, p8, futon0, provides, experiential, ground, mindful
f1/p0	walo	四	Baseline Deterministic Substrate -> walo/四: A clear baseline makes the substrate’s guarantees explicit, helps detect regressions in hydration or pipeline flow, and provides a stable reference against which future refinements or extensions can be evaluated.	baseline, deterministic, substrate, f1, p0, clear, makes, s, guarantees, explicit
f1/p1	lawa	专	Demo/Client Determinism & Focus-Header Instrumentation -> lawa/专: Treating the demo/client workflow as calibrated instrumentation—rather than an informal demo—provides a stable, reproducible surface for higher futons, lets developers detect drift in persistence or header logic, and clarifies exactly what guarantees FUTON1 provides.	demo, client, determinism, focus, header, instrumentation, f1, p1, treating, workflow
f1/p10	musi	已	World-State Access & Storage Model Documentation -> musi/已: A clear storage-model contract makes FUTON1 a dependable foundation for the rest of the FUTON stack. It allows external tools to read and reason over the same durable world state without special-case integrations or export modes, preserving determinism and reducing the risk of accidental divergence.	world, state, access, storage, model, documentation, f1, p10, clear, contract
f1/p11	poka	才	Reproducible Pilot Workflows -> poka/才: Experimental and reasoning-oriented futons (e.g., FUTON2, FUTON4, FUTON5) require a stable, deterministic backend for storing and replaying world state. By documenting how pilots can rely on FUTON1’s storage and hydration guarantees, FUTON1 supports reproducible experimentation without expanding its own scope.	reproducible, pilot, workflows, f1, p11, experimental, reasoning, oriented, futons, e
f1/p12	pini	末	Consolidation & Packaging Pass -> pini/末: A coherent packaging of FUTON1 strengthens its role as the dependable base layer for higher futons and for collaborators who rely on deterministic behaviour but may not know the internal architecture. Clear organisation reduces friction, supports reproducibility, and makes FUTON1 easier to maintain as a stable substrate.	consolidation, packaging, pass, f1, p12, coherent, futon1, strengthens, its, role
f1/p2	lawa	申	NLP Interface Consolidation -> lawa/申: A consolidated and documented NLP interface provides a stable grounding for ingest and demo/client workflows, reduces accidental coupling, and makes it easier to extend or revise individual stages without destabilising the rest of FUTON1.	nlp, interface, consolidation, f1, p2, consolidated, documented, provides, stable, grounding
f1/p3	ala	乃	Graph-Memory API & Seed Graph -> ala/乃: A clear graph-memory contract turns FUTON1’s internal schema and store logic into a reliable interface. This allows higher futons and external tools to depend on the same graph representation, reduces ambiguity about what is persisted, and makes changes to the underlying storage behaviour visible and deliberate.	graph, memory, api, seed, f1, p3, clear, contract, turns, futon1
f1/p4	lili	分	XTDB Operations & REPL Workflows -> lili/分: Consolidating XTDB operations into clear, reusable workflows reduces friction, makes store inspection more consistent, and strengthens FUTON1’s role as a deterministic storage substrate rather than an opaque backend. Developers gain a predictable way to understand how mutations appear in XTDB and how hydration restores them.	xtdb, operations, repl, workflows, f1, p4, consolidating, clear, reusable, reduces
f1/p5	open	开	Open-World Ingest Workflows -> open/开: Consistent traces across CLI and API let FUTON1 evaluate NLP changes deterministically and produce reusable “knowledge graph” snapshots per session. Recording these plans keeps the work visible without derailing core storage duties.	open, world, ingest, workflows, f1, p5, consistent, traces, across, cli
f1/p6	ala	无	Thematic Clusters & Intent Metadata -> ala/无: Lightweight thematic metadata strengthens FUTON1’s role as an inspectable storage substrate. By keeping the taxonomy small and deterministic, FUTON1 avoids embedding inference or policy while still providing structured signals that higher futons may use for reasoning or pattern-based behaviour.	thematic, clusters, intent, metadata, f1, p6, lightweight, strengthens, futon1, s
f1/p7	open	互	CLI Ergonomics & Multi-Instance Isolation -> open/互: Clear ergonomics and isolation practices make FUTON1 safer to embed in tooling and CI workflows, reduce accidental data mixing, and strengthen the determinism and reproducibility guarantees laid out in FUTON1’s IFR.	cli, ergonomics, multi, instance, isolation, f1, p7, clear, practices, make
f1/p8	len	末	Golden Scripts & Determinism Checks -> len/末: A compact, well-chosen golden suite makes FUTON1’s determinism guarantees explicit, stabilises expectations about performance, and turns the substrate into a measurable layer rather than an informal demonstration.	golden, scripts, determinism, checks, f1, p8, compact, well, chosen, suite
f1/p9	lipu	无	External Client & API Contract Clarification -> lipu/无: A clear, documented API surface allows external tools to rely on FUTON1’s deterministic storage and summarisation behaviour without embedding orchestration logic. This strengthens FUTON1’s role as a stable substrate while avoiding scope creep into agent design or protocol negotiation.	external, client, api, contract, clarification, f1, p9, clear, documented, surface
f2/p0	walo	四	AIF Stack Baseline (observe → perceive → affect → core) -> walo/四: A documented baseline prevents accidental drift before you optimise policy, analyzers, or mechanics.	aif, stack, baseline, observe, perceive, affect, core, f2, p0, documented
f2/p1	walo	四	Observation Layer Hardening -> walo/四: Reliable observations keep perception and policy stable no matter the world configuration.	observation, layer, hardening, f2, p1, reliable, observations, keep, perception, policy
f2/p10	nimi	乡	Curriculum Scenarios & AIF Behaviour Cards -> nimi/乡: These cards seed pattern extraction and future training systems.	curriculum, scenarios, aif, behaviour, cards, f2, p10, these, seed, pattern
f2/p11	mu	由	AIF Agent Debugger & Mu/Precision Visualiser -> mu/由: Visual insight accelerates iteration and debugging.	aif, agent, debugger, mu, precision, visualiser, f2, p11, visual, insight
f2/p12	pini	末	Year-End Packaging & Story -> pini/末: Strong packaging turns FUTON2 into a reusable, inspectable module inside the full FUTON stack.	year, end, packaging, story, f2, p12, strong, turns, futon2, reusable
f2/p13	monsi	乃	Graph Memory Adapter & Agent ABI -> monsi/乃: once the adapter honours shared trail/pheromone energy, human proofwork and AIF runs guide each other through the same mission record instead of bespoke glue.	graph, memory, adapter, agent, abi, f2, p13, once, honours, shared
f2/p14	wawa	习	Viriya Field & Social Activation Metrics -> wawa/习: Tying the simulation to viriya turns FUTON2 into a practice accelerator instead of a curiosity.	viriya, field, social, activation, metrics, f2, p14, tying, simulation, turns
f2/p15	insa	内	Sandbox Bridge & Presence Interface -> insa/内: This proves that AIF agents can show up wherever proofwork happens, not just inside a war grid.	sandbox, bridge, presence, interface, f2, p15, proves, aif, agents, show
f2/p16	ala	无	Lobby Bus & MUSN Intake -> ala/无: This proves that a single HUD-bound agent can safely “step into” MUSN through a constrained door—acting as a semi-privileged clerk rather than an all-powerful daemon—and sets the pattern for later extending the presence bus (Prototype 15) to multiple rooms and multiple authenticated agent writers.	lobby, bus, musn, intake, f2, p16, proves, single, hud, bound
f2/p16	kin	去	Wisdom Trail Harvest & Pattern Seeding -> kin/去: Shared missions keep the “energy” loop tight between simulations and human proofwork.	wisdom, trail, harvest, pattern, seeding, f2, p16, shared, missions, keep
f2/p2	lon	乡	Predictive Coding Microcycle Clarity -> lon/乡: Clear cycles make later integrations with futon4 symbolic memory far easier.	predictive, coding, microcycle, clarity, f2, p2, clear, cycles, make, later
f2/p3	sewi	六	Hunger & Precision Dynamics Goldens -> sewi/六: Once goldens exist, small tune-ups stop breaking entire colony behaviour.	hunger, precision, dynamics, goldens, f2, p3, once, exist, small, tune
f2/p4	moku	乡	Policy Layer Surfacing -> moku/乡: Stabilised policies are mandatory before benchmarking or bridging into futon1 salience services.	policy, layer, surfacing, f2, p4, stabilised, policies, mandatory, before, benchmarking
f2/p5	alasa	书	World Mechanics Contract (war.clj) -> alasa/书: A clear contract keeps the world trustworthy when other prototypes depend on it for episodes.	world, mechanics, contract, war, clj, f2, p5, clear, keeps, trustworthy
f2/p6	tan	已	Live Analyzer & Pivot Stream Stabilisation -> tan/已: Pivot streams are FUTON2’s event bus and must behave like a stable ABI.	live, analyzer, pivot, stream, stabilisation, f2, p6, streams, futon2, s
f2/p7	taso	三	Classic vs AIF Benchmark Suite -> taso/三: FUTON2 should function as a scientific system with reproducible metrics.	classic, vs, aif, benchmark, suite, f2, p7, futon2, function, scientific
f2/p8	pana	予	External Control & Episode Export -> pana/予: Exported episodes are critical for agent training, memory, and pattern extraction.	external, control, episode, export, f2, p8, exported, episodes, critical, agent
f2/p9	monsi	刊	futon1 ↔ futon2 Alignment Layer -> monsi/刊: a working bridge proves ants can reason over the same facts as the rest of the stack.	futon1, futon2, alignment, layer, f2, p9, working, bridge, proves, ants
f3/p0	kin	双	Flexiformal Transport Baseline -> kin/双: Flexiformal checking needs a stable log format before any higher-layer reasoning can rely on it.	flexiformal, transport, baseline, f3, p0, checking, needs, stable, log, format
